측정일자,측정소명,미세먼지(㎍/㎥)
20200221,중랑구,83
20200221,동대문구,73
20200221,성북구,71
20200221,도봉구,76
20200221,강북구,86
20200221,노원구,72
20200221,강서구,78
20200221,구로구,70
20200221,영등포구,67
20200221,동작구,79
20200221,관악구,65
20200221,금천구,58
20200221,양천구,77
20200221,강남구,69
20200221,서초구,90
20200221,송파구,62
20200221,강동구,88
20200224,중구,32
20200224,종로구,35
20200224,용산구,28
20200224,은평구,30
20200224,서대문구,34
20200224,마포구,30
20200224,광진구,38
20200224,성동구,34
20200224,중랑구,35
20200224,동대문구,32
20200224,성북구,38
20200224,도봉구,33
20200224,강북구,37
20200224,노원구,27
20200224,강서구,33
20200224,구로구,30
20200224,영등포구,30
20200224,동작구,39
20200224,관악구,30
20200224,금천구,31
20200224,양천구,34
20200224,강남구,33
20200224,서초구,42
20200224,송파구,35
20200224,강동구,39
20200225,중구,22
20200225,종로구,23
20200225,용산구,7
20200225,은평구,19
20200225,서대문구,19
20200225,마포구,20
20200225,광진구,19
20200225,성동구,20
20200225,중랑구,21
20200225,동대문구,22
20200225,성북구,24
20200225,도봉구,22
20200225,강북구,23
20200225,노원구,20
20200225,강서구,23
20200225,구로구,21
20200225,영등포구,21
20200225,동작구,22
20200225,관악구,19
20200225,금천구,18
20200225,양천구,24
20200225,강남구,20
20200225,서초구,28
20200225,송파구,21
20200225,강동구,20
20200226,중구,16
20200226,종로구,18
20200226,용산구,19
20200226,은평구,15
20200226,서대문구,16
20200226,마포구,18
20200226,광진구,18
20200226,성동구,19
20200226,중랑구,19
20200226,동대문구,16
20200226,성북구,20
20200226,도봉구,13
20200226,강북구,17
